Holes,Strengths
AKsr,0.65464
AQsr,0.64875
AJsr,0.64101
ATsr,0.634535
A9sr,0.618335
A8sr,0.6073
A7sr,0.602125
A6sr,0.59467
A5sr,0.589655
A4sr,0.58554
A3sr,0.57498
A2sr,0.56749
KQsr,0.62487
KJsr,0.616405
KTsr,0.6107
K9sr,0.591805
K8sr,0.57685
K7sr,0.57137
K6sr,0.56222
K5sr,0.55471
K4sr,0.548845
K3sr,0.536325
K2sr,0.528135
QJsr,0.602125
QTsr,0.59275
Q9sr,0.575675
Q8sr,0.561515
Q7sr,0.54567
Q6sr,0.53897
Q5sr,0.531105
Q4sr,0.52223
Q3sr,0.51328
Q2sr,0.500845
JTsr,0.579735
J9sr,0.563665
J8sr,0.5445
J7sr,0.529045
J6sr,0.512785
J5sr,0.510505
J4sr,0.497955
J3sr,0.487315
J2sr,0.48441
T9sr,0.549935
T8sr,0.53362
T7sr,0.51597
T6sr,0.49896
T5sr,0.487205
T4sr,0.4812
T3sr,0.468145
T2sr,0.45889
98sr,0.521845
97sr,0.505345
96sr,0.489345
95sr,0.472705
94sr,0.455165
93sr,0.45078
92sr,0.44162
87sr,0.49491
86sr,0.48354
85sr,0.46516
84sr,0.44398
83sr,0.42681
82sr,0.42262
76sr,0.47242
75sr,0.459635
74sr,0.44222
73sr,0.422685
72sr,0.401555
65sr,0.45608
64sr,0.44018
63sr,0.42139
62sr,0.399735
54sr,0.43801
53sr,0.419645
52sr,0.401315
43sr,0.409395
42sr,0.391985
32sr,0.37984
AKsb,0.64537
AQsb,0.641435
AJsb,0.62903
ATsb,0.6292
A9sb,0.608795
A8sb,0.601775
A7sb,0.59089
A6sb,0.58154
A5sb,0.584895
A4sb,0.574205
A3sb,0.566835
A2sb,0.55655
KQsb,0.61559
KJsb,0.60971
KTsb,0.600615
K9sb,0.584105
K8sb,0.56809
K7sb,0.56383
K6sb,0.557285
K5sb,0.550645
K4sb,0.53973
K3sb,0.532125
K2sb,0.523485
QJsb,0.59623
QTsb,0.58833
Q9sb,0.56711
Q8sb,0.551855
Q7sb,0.53511
Q6sb,0.53249
Q5sb,0.52562
Q4sb,0.51544
Q3sb,0.503965
Q2sb,0.49455
JTsb,0.57404
J9sb,0.5559
J8sb,0.537445
J7sb,0.5242
J6sb,0.508355
J5sb,0.505795
J4sb,0.494695
J3sb,0.48716
J2sb,0.475315
T9sb,0.54573
T8sb,0.52955
T7sb,0.514075
T6sb,0.4982
T5sb,0.48344
T4sb,0.47697
T3sb,0.463975
T2sb,0.45454
98sb,0.51859
97sb,0.501715
96sb,0.487265
95sb,0.469035
94sb,0.449135
93sb,0.444415
92sb,0.4354
87sb,0.49237
86sb,0.476575
85sb,0.45964
84sb,0.44272
83sb,0.42398
82sb,0.42057
76sb,0.472075
75sb,0.45773
74sb,0.43787
73sb,0.420545
72sb,0.397985
65sb,0.453465
64sb,0.43565
63sb,0.41452
62sb,0.395785
54sb,0.43958
53sb,0.42076
52sb,0.400915
43sb,0.40841
42sb,0.38914
32sb,0.3788
AKor,0.642265
AQor,0.635565
AJor,0.62754
ATor,0.619675
A9or,0.602295
A8or,0.592655
A7or,0.58418
A6or,0.569975
A5or,0.57257
A4or,0.560615
A3or,0.54792
A2or,0.535015
KQor,0.612705
KJor,0.6053
KTor,0.59577
K9or,0.57467
K8or,0.55551
K7or,0.549635
K6or,0.540565
K5or,0.53228
K4or,0.51923
K3or,0.51123
K2or,0.50045
QJor,0.58729
QTor,0.577955
Q9or,0.554835
Q8or,0.54053
Q7or,0.52363
Q6or,0.515975
Q5or,0.506635
Q4or,0.49606
Q3or,0.484495
Q2or,0.472605
JTor,0.565675
J9or,0.54152
J8or,0.52581
J7or,0.50658
J6or,0.489825
J5or,0.48255
J4or,0.47336
J3or,0.460865
J2or,0.450825
T9or,0.53145
T8or,0.511815
T7or,0.492115
T6or,0.477035
T5or,0.4594
T4or,0.451535
T3or,0.440945
T2or,0.429415
98or,0.500925
97or,0.482415
96or,0.463915
95or,0.44726
94or,0.42485
93or,0.41626
92or,0.4049
87or,0.47285
86or,0.45667
85or,0.4419
84or,0.420015
83or,0.397975
82or,0.38856
76or,0.44734
75or,0.43241
74or,0.409405
73or,0.388945
72or,0.366005
65or,0.43023
64or,0.404695
63or,0.385445
62or,0.36357
54or,0.410795
53or,0.388095
52or,0.367465
43or,0.375895
42or,0.355935
32or,0.343735
AKob,0.62057
AQob,0.613845
AJob,0.608825
ATob,0.60018
A9ob,0.57874
A8ob,0.570835
A7ob,0.56828
A6ob,0.551085
A5ob,0.554555
A4ob,0.54588
A3ob,0.53268
A2ob,0.52005
KQob,0.58878
KJob,0.582915
KTob,0.575305
K9ob,0.554065
K8ob,0.536825
K7ob,0.5329
K6ob,0.52355
K5ob,0.515055
K4ob,0.5061
K3ob,0.495265
K2ob,0.482905
QJob,0.56587
QTob,0.556865
Q9ob,0.53421
Q8ob,0.52068
Q7ob,0.50411
Q6ob,0.498775
Q5ob,0.4906
Q4ob,0.478615
Q3ob,0.46984
Q2ob,0.456615
JTob,0.54469
J9ob,0.5258
J8ob,0.50907
J7ob,0.490655
J6ob,0.473835
J5ob,0.46833
J4ob,0.454955
J3ob,0.44441
J2ob,0.43248
T9ob,0.51174
T8ob,0.491825
T7ob,0.479665
T6ob,0.46501
T5ob,0.44525
T4ob,0.43449
T3ob,0.424995
T2ob,0.415955
98ob,0.481655
97ob,0.463945
96ob,0.450535
95ob,0.42745
94ob,0.40834
93ob,0.401975
92ob,0.39325
87ob,0.454225
86ob,0.43634
85ob,0.42085
84ob,0.402965
83ob,0.378815
82ob,0.37436
76ob,0.432615
75ob,0.415855
74ob,0.394945
73ob,0.376005
72ob,0.353585
65ob,0.40998
64ob,0.392665
63ob,0.374175
62ob,0.352095
54ob,0.39424
53ob,0.37473
52ob,0.352235
43ob,0.36152
42ob,0.34166
32ob,0.326935
AKom,0.63443
AQom,0.621945
AJom,0.61828
ATom,0.60745
A9om,0.591445
A8om,0.580465
A7om,0.571895
A6om,0.560585
A5om,0.563645
A4om,0.55131
A3om,0.53896
A2om,0.529665
KQom,0.599
KJom,0.591755
KTom,0.58837
K9om,0.56541
K8om,0.54502
K7om,0.54042
K6om,0.530625
K5om,0.522975
K4om,0.51176
K3om,0.498985
K2om,0.486685
QJom,0.57551
QTom,0.56605
Q9om,0.548325
Q8om,0.53174
Q7om,0.510095
Q6om,0.506105
Q5om,0.497415
Q4om,0.485235
Q3om,0.47733
Q2om,0.46325
JTom,0.55888
J9om,0.53411
J8om,0.51642
J7om,0.49682
J6om,0.47946
J5om,0.47403
J4om,0.460185
J3om,0.45412
J2om,0.43825
T9om,0.52228
T8om,0.5037
T7om,0.487385
T6om,0.467625
T5om,0.45042
T4om,0.443455
T3om,0.43081
T2om,0.420245
98om,0.49212
97om,0.474085
96om,0.45419
95om,0.43802
94om,0.41881
93om,0.40634
92om,0.39636
87om,0.46402
86om,0.449355
85om,0.42757
84om,0.40756
83om,0.38587
82om,0.37841
76om,0.43775
75om,0.42553
74om,0.400145
73om,0.379155
72om,0.360435
65om,0.420015
64om,0.40034
63om,0.37803
62om,0.3543
54om,0.404065
53om,0.38191
52om,0.360295
43om,0.367555
42om,0.346715
32om,0.33688
AAor,0.81833
KKor,0.786725
QQor,0.76461
JJor,0.7431
TTor,0.72116
99or,0.68829
88or,0.660345
77or,0.63074
66or,0.599235
55or,0.572525
44or,0.539575
33or,0.50326
22or,0.469815
AAob,0.81084
KKob,0.784145
QQob,0.75778
JJob,0.734885
TTob,0.71698
99ob,0.68479
88ob,0.653015
77ob,0.62161
66ob,0.596305
55ob,0.567465
44ob,0.53197
33ob,0.500465
22ob,0.46375
AAom,0.81128
KKom,0.782765
