Holes,Strengths
AKs,0.643045
AQs,0.63711
AJs,0.63422
ATs,0.62408
A9s,0.603695
A8s,0.602285
A7s,0.593175
A6s,0.582275
A5s,0.584215
A4s,0.576915
A3s,0.56545
A2s,0.558895
KQs,0.61269
KJs,0.60861
KTs,0.60244
K9s,0.58026
K8s,0.568015
K7s,0.56519
K6s,0.55725
K5s,0.546565
K4s,0.53986
K3s,0.53261
K2s,0.51991
QJs,0.592795
QTs,0.586535
Q9s,0.568345
Q8s,0.552495
Q7s,0.53762
Q6s,0.53278
Q5s,0.52508
Q4s,0.514455
Q3s,0.502575
Q2s,0.498055
JTs,0.573825
J9s,0.551735
J8s,0.5378
J7s,0.52519
J6s,0.506105
J5s,0.506025
J4s,0.493935
J3s,0.484165
J2s,0.475785
T9s,0.54638
T8s,0.52839
T7s,0.51108
T6s,0.498435
T5s,0.48025
T4s,0.473305
T3s,0.46471
T2s,0.455745
98s,0.51558
97s,0.4997
96s,0.486285
95s,0.470385
94s,0.450285
93s,0.4458
92s,0.4344
87s,0.49309
86s,0.478495
85s,0.46042
84s,0.441215
83s,0.424785
82s,0.417445
76s,0.467195
75s,0.457075
74s,0.43684
73s,0.420725
72s,0.4023
65s,0.451845
64s,0.435595
63s,0.418305
62s,0.396865
54s,0.43659
53s,0.42033
52s,0.401415
43s,0.41029
42s,0.39207
32s,0.37841
AKo,0.63347
AQo,0.62509
AJo,0.617165
ATo,0.60806
A9o,0.585315
A8o,0.57997
A7o,0.570625
A6o,0.56027
A5o,0.560935
A4o,0.54946
A3o,0.539025
A2o,0.526705
KQo,0.600535
KJo,0.59273
KTo,0.58488
K9o,0.565455
K8o,0.547495
K7o,0.5401
K6o,0.532085
K5o,0.52328
K4o,0.50786
K3o,0.501185
K2o,0.487885
QJo,0.574235
QTo,0.5686
Q9o,0.547505
Q8o,0.531165
Q7o,0.513665
Q6o,0.505345
Q5o,0.49916
Q4o,0.486795
Q3o,0.47481
Q2o,0.46323
JTo,0.55807
J9o,0.531345
J8o,0.517085
J7o,0.498675
J6o,0.482055
J5o,0.47472
J4o,0.46125
J3o,0.44955
J2o,0.441315
T9o,0.523655
T8o,0.50278
T7o,0.48617
T6o,0.46657
T5o,0.44914
T4o,0.444815
T3o,0.430525
T2o,0.414505
98o,0.49217
97o,0.476765
96o,0.454305
95o,0.43728
94o,0.414825
93o,0.410055
92o,0.39483
87o,0.46658
86o,0.44769
85o,0.42664
84o,0.406165
83o,0.384795
82o,0.375015
76o,0.438785
75o,0.42588
74o,0.402505
73o,0.38236
72o,0.35789
65o,0.419735
64o,0.400035
63o,0.37803
62o,0.356655
54o,0.400975
53o,0.381175
52o,0.36032
43o,0.372445
42o,0.34485
32o,0.335795
AAo,0.81053
KKo,0.782525
QQo,0.762735
JJo,0.73664
TTo,0.71407
99o,0.68287
88o,0.652705
77o,0.623545
66o,0.594155
55o,0.56809
44o,0.53256
33o,0.499215
22o,0.4654
