Holes,Strengths
AKsr,0.66
AQsr,0.64
AJsr,0.64
ATsr,0.645
A9sr,0.61
A8sr,0.615
A7sr,0.585
A6sr,0.635
A5sr,0.565
A4sr,0.545
A3sr,0.615
A2sr,0.53
KQsr,0.585
KJsr,0.625
KTsr,0.68
K9sr,0.575
K8sr,0.665
K7sr,0.53
K6sr,0.595
K5sr,0.53
K4sr,0.57
K3sr,0.465
K2sr,0.595
QJsr,0.665
QTsr,0.695
Q9sr,0.43
Q8sr,0.625
Q7sr,0.57
Q6sr,0.6
Q5sr,0.485
Q4sr,0.555
Q3sr,0.55
Q2sr,0.535
JTsr,0.62
J9sr,0.63
J8sr,0.61
J7sr,0.44
J6sr,0.485
J5sr,0.495
J4sr,0.465
J3sr,0.535
J2sr,0.46
T9sr,0.485
T8sr,0.54
T7sr,0.48
T6sr,0.49
T5sr,0.42
T4sr,0.51
T3sr,0.44
T2sr,0.46
98sr,0.475
97sr,0.58
96sr,0.44
95sr,0.475
94sr,0.465
93sr,0.465
92sr,0.4
87sr,0.49
86sr,0.5
85sr,0.45
84sr,0.48
83sr,0.49
82sr,0.465
76sr,0.5
75sr,0.52
74sr,0.485
73sr,0.545
72sr,0.425
65sr,0.45
64sr,0.375
63sr,0.415
62sr,0.455
54sr,0.415
53sr,0.455
52sr,0.44
43sr,0.345
42sr,0.36
32sr,0.325
AKsb,0.71
AQsb,0.68
AJsb,0.63
ATsb,0.62
A9sb,0.595
A8sb,0.575
A7sb,0.57
A6sb,0.635
A5sb,0.595
A4sb,0.61
A3sb,0.565
A2sb,0.47
KQsb,0.58
KJsb,0.615
KTsb,0.62
K9sb,0.635
K8sb,0.635
K7sb,0.63
K6sb,0.55
K5sb,0.51
K4sb,0.475
K3sb,0.54
K2sb,0.57
QJsb,0.55
QTsb,0.54
Q9sb,0.555
Q8sb,0.495
Q7sb,0.605
Q6sb,0.575
Q5sb,0.53
Q4sb,0.555
Q3sb,0.56
Q2sb,0.58
JTsb,0.605
J9sb,0.555
J8sb,0.625
J7sb,0.48
J6sb,0.46
J5sb,0.49
J4sb,0.535
J3sb,0.505
J2sb,0.395
T9sb,0.56
T8sb,0.555
T7sb,0.535
T6sb,0.54
T5sb,0.425
T4sb,0.55
T3sb,0.455
T2sb,0.48
98sb,0.44
97sb,0.445
96sb,0.53
95sb,0.495
94sb,0.425
93sb,0.515
92sb,0.44
87sb,0.485
86sb,0.435
85sb,0.46
84sb,0.48
83sb,0.375
82sb,0.425
76sb,0.57
75sb,0.52
74sb,0.51
73sb,0.395
72sb,0.415
65sb,0.49
64sb,0.44
63sb,0.35
62sb,0.39
54sb,0.435
53sb,0.395
52sb,0.36
43sb,0.4
42sb,0.395
32sb,0.375
AKor,0.62
AQor,0.69
AJor,0.665
ATor,0.585
A9or,0.57
A8or,0.61
A7or,0.595
A6or,0.595
A5or,0.555
A4or,0.57
A3or,0.505
A2or,0.5
KQor,0.655
KJor,0.535
KTor,0.545
K9or,0.58
K8or,0.595
K7or,0.525
K6or,0.5
K5or,0.58
K4or,0.54
K3or,0.49
K2or,0.495
QJor,0.61
QTor,0.575
Q9or,0.625
Q8or,0.58
Q7or,0.57
Q6or,0.51
Q5or,0.515
Q4or,0.52
Q3or,0.56
Q2or,0.475
JTor,0.6
J9or,0.43
J8or,0.535
J7or,0.535
J6or,0.515
J5or,0.485
J4or,0.415
J3or,0.47
J2or,0.405
T9or,0.515
